episode_id,onset_month,end_month,duration_months,cumulative_next_month_shadow_carry_spot_pct,worst_next_month_shadow_carry_spot_pct
1,1988-08,1989-12,17,-6.1032395709595235,-4.615793942978117
2,1990-12,1991-05,6,-0.8732086383515123,-1.1516746751136029
3,1993-02,1993-02,1,-0.4790504576104044,-0.4790504576104044
4,1993-04,1993-05,2,-3.208279051314881,-3.054256380960718
5,1997-09,1997-09,1,-1.637299174899544,-1.637299174899544
6,1998-09,1999-01,5,-7.790019509691939,-7.041769057812029
7,1999-11,1999-12,2,2.235655254594665,0.2639945404956301
8,2000-05,2001-02,10,0.4520260829293945,-2.309626426865752
9,2004-08,2005-07,12,1.895163717116949,-1.6097551515271111
10,2007-09,2008-04,8,-3.9191315064990837,-3.6587463941116862
11,2008-09,2008-10,2,-14.646780614298319,-11.656534557854025
12,2011-09,2011-12,4,4.971463356173938,-2.4709160027914594
13,2015-02,2015-05,4,-6.146878819904932,-4.028375354056104
14,2016-08,2016-09,2,2.6173183859605977,0.9568895624876826
15,2019-06,2019-11,6,-0.08247356567820763,-2.953996554786655
16,2020-02,2020-05,4,-0.5745830824371274,-6.07516751784605
17,2022-12,2023-09,10,3.3869230805095714,-1.5862298005295608
18,2024-01,2024-03,3,3.6818890290566917,0.33859872715030115
