excluded_from_signal_and_outcome,sensor_currency_count,minimum_curve_coverage,annualized_active_minus_inactive_pp,p_circular_raw,active_months,episodes
AUD,8,5,-5.080428825618057,0.13333333333333333,69,16
CAD,8,5,-1.9626510742420655,0.5538461538461539,92,17
CHF,8,5,-4.5112495816160525,0.20444444444444446,92,17
EUR,8,5,-2.900617602071485,0.39111111111111113,88,18
GBP,8,5,-0.6028267878557036,0.8266666666666667,88,16
JPY,8,5,-2.329116988157927,0.4043956043956044,98,18
NOK,8,5,-1.3200302412053866,0.654945054945055,70,14
NZD,8,5,-1.9250816978575735,0.5377777777777778,82,14
SEK,8,5,-1.953959941932827,0.5911111111111111,91,16
