currency,baseline_onset_occurrences,mean_h0_h1_when_present_pp,months_present
NZD,10,-1.347547097379706,1988-05;1988-12;1989-05;1990-08;1995-07;1998-09;2008-10;2015-07;2016-08;2020-03
CAD,9,-3.3888338327049397,1989-05;1990-08;1995-07;1996-07;1998-09;2008-10;2015-07;2020-03;2024-06
AUD,8,-1.6598878797965402,1988-12;1990-08;1996-07;2001-02;2008-10;2011-12;2016-08;2020-03
NOK,8,-1.1085350879361524,1988-05;1988-12;1989-05;1990-08;2002-12;2008-10;2011-12;2020-03
GBP,5,-1.6660879445167722,1988-05;2001-02;2008-10;2016-08;2020-03
SEK,5,-3.713973623954378,1996-07;2002-12;2008-10;2011-12;2015-07
EUR,4,-3.8335063729975083,2002-12;2008-10;2011-12;2024-06
CHF,3,-3.1654304595306293,1995-07;2008-10;2024-06
JPY,3,-7.499798982155769,1998-09;2001-02;2008-10
