source_table,rule_family,rule_id,rule_label,active_months,carry_spot_pp,carry_spot_wild_p,carry_total_pp,carry_total_wild_p,high_beta_spot_pp,high_beta_spot_wild_p,high_beta_total_pp,high_beta_total_wild_p,baseline,include_in_unique_core
C.1,breadth,breadth_ge4,At least 4 live curves,22,-0.75,0.879,2.1,0.672,0.26,0.967,1.87,0.736,False,True
C.2,release,release_1,Release after 1 increase,39,-12.14,0.059,-10.49,0.112,-10.35,0.035,-9.39,0.051,False,True
C.1,breadth,breadth_ge3,At least 3 live curves,44,-6.77,0.405,-4.57,0.694,-2.64,0.478,-1.47,0.711,False,True
C.1,breadth,breadth_eq2,Exactly 2 live curves,48,-15.72,0.001,-15.13,0.002,-10.43,0.012,-10.31,0.011,False,True
C.1,breadth,breadth_eq1,Exactly 1 live curve,88,8.33,0.005,8.78,0.003,0.69,0.818,0.66,0.831,False,True
C.1,breadth,baseline,At least 2 live curves,92,-12.85,0.001,-11.31,0.003,-7.53,0.01,-6.82,0.013,True,True
C.3,tenor,tenor_10y3m,10Y-3M slope,107,-4.68,0.146,-4.02,0.26,-5.25,0.011,-5.0,0.034,False,True
C.1,breadth,breadth_ge1,At least 1 live curve,180,-3.23,0.23,-1.9,0.513,-4.62,0.008,-4.16,0.014,False,True
C.2,release,release_3,Release after 3 increases,191,-3.59,0.161,-2.11,0.491,-4.23,0.001,-3.58,0.017,False,True
